"A","S","E","O","R","T"
"B","N","N","N","Y","B"
"B","Y","Y","N","Y","B"
"A","N","N","N","N","B"
"C","Y","N","N","N","C"
"A","Y","N","N","N","B"
"C","Y","N","N","Y","C"
"C","Y","Y","N","Y","C"
"B","N","Y","N","Y","A"
"B","Y","N","N","Y","A"
"A","N","N","N","Y","B"
"A","Y","N","N","Y","A"
"B","Y","Y","N","Y","A"
"C","N","N","N","Y","A"
"B","N","Y","N","Y","B"
"B","N","Y","N","N","B"
"A","N","N","N","Y","A"
"A","N","Y","N","Y","A"
"B","Y","N","N","Y","A"
"A","N","N","N","N","A"
"A","Y","N","N","Y","C"
"A","N","N","N","Y","A"
"C","Y","N","N","N","A"
"B","Y","N","N","Y","C"
"A","N","Y","N","N","A"
"B","Y","N","N","Y","C"
"A","N","N","N","Y","C"
"C","Y","N","N","Y","A"
"B","Y","N","N","Y","C"
"A","Y","N","N","Y","C"
"B","Y","Y","N","Y","A"
"C","Y","Y","N","Y","A"
"B","Y","N","N","N","B"
"B","Y","N","N","Y","B"
"B","Y","N","Y","N","B"
"B","N","Y","N","N","A"
"A","N","N","N","Y","A"
"C","Y","N","N","N","C"
"B","N","N","N","Y","B"
"A","N","N","N","Y","B"
"C","N","N","N","Y","B"
"B","N","N","N","Y","A"
"A","N","Y","Y","Y","A"
"B","Y","N","N","Y","A"
"B","N","N","Y","N","A"
"C","N","N","Y","N","A"
"B","N","N","N","N","A"
"B","N","N","N","Y","A"
"B","Y","N","N","Y","A"
"B","N","N","N","Y","B"
"A","Y","Y","Y","Y","A"
"A","Y","Y","N","Y","A"
"C","N","N","N","Y","B"
"B","Y","N","N","N","B"
"B","Y","N","N","N","B"
"C","N","N","N","Y","C"
"B","N","N","N","Y","A"
"B","N","Y","N","N","B"
"A","N","N","N","N","B"
"B","Y","Y","N","N","A"
"B","N","Y","Y","Y","A"
"B","N","Y","N","Y","A"
"B","Y","N","N","N","B"
"A","N","N","N","Y","A"
"A","Y","Y","N","Y","B"
"B","N","N","N","Y","C"
"C","N","N","N","Y","B"
"A","Y","N","N","Y","A"
"C","N","N","N","Y","A"
"C","N","N","N","Y","A"
"B","Y","N","N","Y","A"
"C","Y","N","N","Y","A"
"A","N","N","N","Y","C"
"C","Y","N","N","Y","A"
"C","Y","N","N","Y","B"
"C","Y","N","N","Y","A"
"A","Y","Y","N","N","A"
"A","N","Y","N","N","B"
"C","Y","N","N","Y","A"
"C","Y","N","N","N","A"
"B","N","N","N","Y","C"
"B","Y","N","N","Y","A"
"A","Y","N","N","N","A"
"B","N","N","N","N","B"
"B","Y","Y","Y","Y","A"
"C","Y","N","N","N","B"
"A","Y","N","N","Y","B"
"C","Y","N","N","N","A"
"A","Y","N","N","N","B"
"B","N","N","N","Y","A"
"A","N","Y","N","Y","A"
"C","N","N","Y","Y","A"
"B","Y","Y","N","Y","A"
"C","N","N","N","Y","B"
"B","N","N","N","Y","A"
"A","N","Y","N","Y","C"
"B","N","Y","N","Y","A"
"C","N","N","N","Y","C"
"B","N","N","N","N","A"
"B","N","N","N","Y","A"
"A","N","N","N","Y","A"
"A","N","Y","N","N","B"
"A","Y","Y","N","Y","B"
"B","N","N","N","Y","B"
"B","Y","N","N","Y","B"
"C","N","Y","N","N","B"
"B","N","N","N","Y","A"
"B","Y","Y","N","Y","C"
"C","N","N","N","N","A"
"A","N","N","N","Y","A"
"A","N","N","N","Y","C"
"B","N","N","N","Y","A"
"A","N","N","N","Y","C"
"A","Y","Y","N","Y","A"
"A","Y","N","N","Y","A"
"A","N","N","N","Y","A"
"B","Y","N","N","N","B"
"A","N","N","N","Y","C"
"B","N","N","N","Y","C"
"B","Y","N","N","Y","A"
"B","N","N","N","N","A"
"B","N","N","N","Y","A"
"A","Y","Y","Y","Y","A"
"B","N","N","N","N","A"
"B","N","N","N","Y","A"
"B","Y","Y","N","N","B"
"A","Y","N","N","Y","A"
"B","Y","N","N","N","B"
"B","Y","Y","N","Y","A"
"B","N","N","N","Y","A"
"A","N","N","N","Y","B"
"C","N","N","N","N","B"
"C","N","Y","N","N","B"
"A","N","N","N","Y","A"
"B","Y","N","N","Y","A"
"A","N","N","N","N","A"
"A","N","N","N","N","B"
"B","N","N","N","Y","B"
