"class","age","sex","survived"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
